age,type_of_travel,online_boarding,checkin_service,on-board_service,baggage_handling,inflight_service,leg_room_service,cleanliness,seat_comfort,inflight_wifi_service,arrival_delay_in_minutes,departure_delay_in_minutes,satisfaction
55,Business travel,5,5,5,5,5,5,3,5,4,5,0,satisfied
29,Business travel,3,4,3,3,4,2,3,3,3,25,21,neutral or dissatisfied
28,Business travel,2,2,4,4,4,4,2,2,3,11,0,neutral or dissatisfied
23,Business travel,1,2,1,3,3,3,1,1,1,23,27,neutral or dissatisfied
49,Business travel,4,4,4,4,4,4,3,5,2,5,23,satisfied
38,Business travel,4,4,5,4,4,5,1,1,4,0,0,neutral or dissatisfied
32,Business travel,2,5,1,1,2,4,2,2,0,0,0,satisfied
37,Business travel,4,4,4,4,4,4,3,5,3,28,21,satisfied
32,Business travel,4,3,4,5,5,4,4,4,5,0,0,satisfied
33,Business travel,4,2,3,1,4,5,4,4,1,0,0,satisfied
27,Business travel,2,4,4,4,4,5,2,2,2,0,0,neutral or dissatisfied
21,Business travel,5,4,2,2,4,2,5,5,1,0,0,satisfied
44,Business travel,5,4,4,4,4,4,5,4,3,0,8,satisfied
28,Business travel,4,1,4,1,3,4,4,4,4,0,0,satisfied
26,Business travel,1,4,5,4,5,5,1,1,1,0,0,neutral or dissatisfied
78,Business travel,1,3,5,5,5,5,5,2,5,19,0,satisfied
46,Business travel,5,4,5,5,5,5,4,5,3,0,0,satisfied
49,Business travel,1,4,5,5,5,5,3,4,5,0,0,satisfied
54,Business travel,5,4,3,3,3,4,4,4,5,25,29,satisfied
49,Business travel,5,4,5,5,5,5,3,5,3,0,16,satisfied
44,Business travel,4,3,4,4,4,4,4,5,3,0,0,satisfied
46,Business travel,5,3,4,5,4,4,3,5,3,0,0,satisfied
44,Business travel,4,4,4,5,5,3,1,1,4,0,0,neutral or dissatisfied
51,Business travel,5,4,4,4,4,4,3,5,5,0,0,satisfied
46,Business travel,5,5,4,4,4,4,3,5,1,0,0,satisfied
41,Business travel,5,4,2,2,2,2,5,4,0,6,24,satisfied
40,Business travel,4,3,4,4,4,4,4,4,5,0,0,satisfied
60,Business travel,3,4,1,1,1,1,2,4,1,18,0,neutral or dissatisfied
16,Personal Travel,2,5,4,5,5,5,3,1,2,82,100,neutral or dissatisfied
33,Business travel,1,2,2,2,2,2,3,2,2,6,0,neutral or dissatisfied
59,Business travel,5,5,4,4,4,4,4,5,5,26,22,satisfied
35,Business travel,1,5,5,5,5,5,4,2,2,1,1,satisfied
21,Business travel,3,4,4,5,5,4,3,3,5,2,0,satisfied
23,Business travel,1,1,2,4,2,4,1,1,1,177,187,neutral or dissatisfied
39,Business travel,4,5,5,5,5,5,3,4,3,0,4,satisfied
18,Personal Travel,4,5,4,5,4,5,2,2,4,5,11,satisfied
60,Business travel,5,3,2,2,2,2,4,4,0,1,0,satisfied
28,Business travel,4,4,2,4,4,5,4,4,3,0,0,satisfied
23,Business travel,5,2,2,3,2,1,5,5,2,0,0,satisfied
51,Business travel,3,2,3,3,3,3,1,4,3,0,0,neutral or dissatisfied
28,Business travel,4,5,5,4,4,4,2,2,4,0,3,satisfied
75,Business travel,5,1,5,5,5,5,5,1,5,0,0,satisfied
43,Business travel,5,5,5,5,5,5,2,2,4,40,52,satisfied
12,Business travel,4,1,4,3,4,3,5,5,5,39,38,neutral or dissatisfied
48,Business travel,3,2,1,1,1,2,3,3,1,0,12,neutral or dissatisfied
57,Business travel,5,5,4,4,4,4,3,5,2,0,0,satisfied
8,Business travel,1,4,4,3,3,5,3,3,1,95,87,neutral or dissatisfied
50,Business travel,3,4,5,4,4,2,2,2,3,0,0,neutral or dissatisfied
58,Business travel,4,3,5,5,5,5,3,5,4,0,18,satisfied
41,Business travel,4,3,5,5,5,5,3,5,4,0,0,satisfied
55,Business travel,4,3,4,4,4,4,5,4,3,0,0,satisfied
55,Business travel,4,4,2,2,2,2,5,5,0,0,0,satisfied
41,Business travel,5,5,2,2,2,2,4,4,4,0,0,satisfied
49,Business travel,4,3,5,5,5,5,5,4,3,1,0,satisfied
37,Business travel,4,5,3,5,5,2,1,1,3,2,0,neutral or dissatisfied
48,Business travel,5,5,5,5,5,5,5,4,2,35,44,satisfied
51,Business travel,4,2,2,2,2,2,4,3,2,0,0,neutral or dissatisfied
50,Business travel,5,5,4,4,4,4,3,5,1,50,2,satisfied
30,Business travel,5,3,3,4,4,5,5,5,3,11,29,satisfied
45,Business travel,5,5,4,4,4,4,5,5,2,0,0,satisfied
59,Business travel,4,4,5,5,5,5,5,5,2,0,0,satisfied
30,Business travel,5,3,5,5,4,4,5,5,4,0,0,satisfied
57,Business travel,4,4,2,2,2,2,1,3,2,0,0,neutral or dissatisfied
31,Business travel,5,4,5,3,5,2,5,5,5,0,1,satisfied
39,Business travel,5,2,5,4,5,5,1,4,4,0,0,satisfied
29,Business travel,3,3,5,3,1,4,3,3,3,278,294,neutral or dissatisfied
23,Business travel,5,1,1,1,5,4,5,5,2,0,0,satisfied
38,Business travel,4,3,4,4,4,4,5,4,5,0,0,satisfied
43,Business travel,3,3,4,4,4,4,4,3,3,48,0,satisfied
49,Business travel,4,4,4,4,4,4,4,5,4,102,112,satisfied
43,Business travel,3,3,3,3,3,3,2,2,3,13,28,neutral or dissatisfied
57,Business travel,5,5,5,5,5,5,5,5,2,0,0,satisfied
40,Business travel,2,4,1,4,3,4,4,4,2,0,0,neutral or dissatisfied
62,Personal Travel,1,3,3,3,3,3,2,3,4,0,0,satisfied
48,Business travel,4,4,4,4,4,4,5,4,2,0,0,satisfied
58,Business travel,4,4,5,5,5,5,3,4,3,0,0,satisfied
35,Business travel,4,5,5,5,5,4,4,4,2,0,0,satisfied
40,Business travel,2,5,4,4,4,2,2,2,2,0,0,neutral or dissatisfied
39,Business travel,4,5,5,5,5,5,4,4,4,0,0,satisfied
53,Business travel,5,3,5,5,5,5,5,5,4,9,0,satisfied
41,Business travel,4,5,4,4,4,4,3,5,3,0,4,satisfied
59,Business travel,5,3,4,4,4,4,4,5,1,0,0,satisfied
47,Business travel,5,5,5,5,5,5,5,4,2,0,0,satisfied
38,Business travel,4,3,4,4,4,4,4,5,3,5,4,satisfied
44,Business travel,3,2,5,5,5,4,4,3,2,0,0,satisfied
41,Business travel,5,5,4,4,4,4,5,4,3,0,0,satisfied
55,Business travel,5,3,5,5,5,5,5,4,4,0,0,satisfied
46,Business travel,5,4,5,5,5,5,4,4,5,0,6,satisfied
54,Business travel,4,5,5,5,5,5,5,5,4,0,0,satisfied
50,Business travel,5,5,5,5,5,5,3,5,3,48,57,satisfied
55,Business travel,5,3,4,4,4,4,5,4,3,15,11,satisfied
46,Business travel,5,5,4,4,4,4,5,5,1,1,0,satisfied
43,Business travel,5,3,5,5,5,5,5,4,3,0,0,satisfied
56,Business travel,5,3,2,2,2,2,2,2,2,0,0,satisfied
33,Business travel,3,4,4,4,4,4,1,1,3,0,0,neutral or dissatisfied
27,Business travel,4,5,4,4,4,4,4,4,4,0,0,satisfied
9,Personal Travel,0,4,5,4,5,2,5,5,2,27,25,neutral or dissatisfied
38,Business travel,3,4,5,4,4,2,4,4,3,0,0,neutral or dissatisfied
22,Business travel,4,2,1,3,2,5,5,5,4,0,0,neutral or dissatisfied
59,Business travel,5,4,5,5,5,5,5,4,2,37,47,satisfied
55,Business travel,4,4,4,4,4,4,4,5,4,4,18,satisfied
48,Business travel,1,2,2,3,3,2,4,4,1,0,0,neutral or dissatisfied
36,Business travel,5,4,4,4,4,4,3,5,2,0,0,satisfied
48,Business travel,5,3,4,4,4,4,4,5,4,0,0,satisfied
71,Business travel,3,3,3,3,3,3,4,4,3,0,0,neutral or dissatisfied
33,Business travel,4,5,5,4,4,5,4,4,4,1,2,neutral or dissatisfied
51,Business travel,5,4,5,4,5,5,4,4,4,4,0,satisfied
56,Business travel,3,5,5,5,5,5,4,5,1,20,17,satisfied
38,Business travel,5,5,4,4,4,4,4,5,5,17,30,satisfied
11,Business travel,2,2,2,4,4,4,3,3,3,0,0,neutral or dissatisfied
41,Business travel,5,3,5,5,5,5,4,4,2,104,107,satisfied
41,Business travel,1,1,2,2,2,2,3,1,5,0,0,satisfied
41,Business travel,5,5,3,5,5,5,5,5,4,243,222,satisfied
53,Business travel,2,3,1,1,1,2,1,2,1,79,91,neutral or dissatisfied
52,Business travel,5,3,4,4,4,4,5,4,1,0,3,satisfied
40,Business travel,5,5,3,4,3,4,3,5,1,7,12,satisfied
45,Business travel,2,3,4,4,5,3,4,4,2,0,13,neutral or dissatisfied
20,Business travel,4,4,5,3,4,2,2,2,5,0,0,satisfied
17,Business travel,5,4,1,2,4,5,5,5,1,0,0,satisfied
25,Business travel,1,5,5,5,4,5,3,4,0,0,0,satisfied
32,Business travel,3,3,4,4,4,2,4,5,3,0,0,neutral or dissatisfied
39,Business travel,2,5,4,3,4,4,2,5,1,105,68,satisfied
36,Business travel,4,4,3,5,3,5,4,4,2,3,4,satisfied
36,Business travel,4,3,5,5,5,5,5,5,5,46,0,satisfied
28,Business travel,4,3,5,5,4,2,4,4,2,56,0,satisfied
55,Business travel,4,4,1,1,1,1,4,5,0,0,0,satisfied
34,Business travel,1,2,4,4,4,4,1,4,1,0,0,satisfied
31,Business travel,4,5,4,1,4,1,4,4,1,0,0,satisfied
36,Business travel,5,1,2,2,2,2,5,5,3,56,20,satisfied
41,Business travel,5,5,4,4,4,4,4,5,2,0,2,satisfied
33,Business travel,2,1,2,2,2,5,2,2,2,11,11,neutral or dissatisfied
36,Business travel,1,2,3,3,3,3,4,1,3,61,68,neutral or dissatisfied
51,Personal Travel,2,1,2,2,2,3,4,1,3,0,9,neutral or dissatisfied
30,Business travel,4,5,3,5,5,3,4,4,5,10,5,satisfied
22,Business travel,5,2,1,4,1,2,5,5,1,0,0,satisfied
35,Business travel,3,5,3,5,4,4,2,2,3,31,32,neutral or dissatisfied
25,Business travel,3,5,4,5,4,2,3,3,3,0,0,neutral or dissatisfied
56,Business travel,5,4,4,4,4,4,5,5,3,0,0,satisfied
27,Business travel,4,3,3,4,4,4,4,4,1,8,0,satisfied
32,Business travel,3,1,4,3,4,4,3,3,3,0,0,neutral or dissatisfied
39,Business travel,2,1,1,4,3,1,4,4,2,0,0,neutral or dissatisfied
13,Personal Travel,3,4,3,3,3,3,2,2,3,0,0,neutral or dissatisfied
50,Business travel,5,3,4,4,4,4,3,5,3,3,3,satisfied
57,Business travel,5,5,3,3,3,3,3,4,1,0,0,satisfied
41,Business travel,5,3,4,4,4,4,5,5,3,0,14,satisfied
48,Business travel,5,4,5,5,5,5,5,5,4,1,17,satisfied
61,Business travel,4,3,4,4,4,4,4,5,2,73,81,satisfied
51,Business travel,3,3,3,4,4,2,3,3,3,49,21,neutral or dissatisfied
40,Business travel,5,4,5,4,5,5,3,5,5,0,1,satisfied
29,Business travel,2,1,2,4,4,3,2,2,2,23,27,neutral or dissatisfied
22,Business travel,0,5,3,4,4,3,4,4,5,0,0,satisfied
40,Business travel,4,4,4,4,4,5,5,5,5,0,0,satisfied
60,Business travel,4,3,4,4,4,4,5,4,1,0,0,satisfied
24,Business travel,5,4,5,5,4,3,4,4,5,0,10,satisfied
50,Business travel,3,4,4,3,5,4,4,4,3,11,15,neutral or dissatisfied
36,Business travel,5,5,5,5,5,5,2,2,2,0,0,satisfied
53,Business travel,4,4,3,3,5,4,4,4,5,175,170,satisfied
57,Business travel,4,4,3,3,3,4,4,5,2,3,0,satisfied
60,Business travel,4,4,5,5,5,5,3,4,3,0,0,satisfied
35,Business travel,4,1,3,3,3,3,4,4,3,0,0,neutral or dissatisfied
43,Business travel,4,3,5,5,5,5,4,4,3,0,4,satisfied
33,Business travel,4,2,5,4,4,2,4,4,4,0,0,satisfied
58,Business travel,5,3,4,4,4,4,5,4,5,7,16,satisfied
54,Business travel,2,5,4,5,5,5,2,2,2,36,38,neutral or dissatisfied
51,Business travel,5,5,4,4,4,4,5,5,1,5,0,satisfied
57,Business travel,5,3,2,2,2,2,5,5,4,0,6,satisfied
32,Business travel,2,3,5,5,4,5,2,2,3,0,0,satisfied
53,Business travel,4,4,4,4,4,4,4,5,1,0,0,satisfied
51,Business travel,4,5,2,2,2,2,4,5,4,0,0,satisfied
37,Business travel,1,4,3,4,4,3,3,3,1,0,4,neutral or dissatisfied
36,Business travel,2,3,1,2,3,1,1,1,2,0,0,neutral or dissatisfied
44,Business travel,5,5,5,5,5,5,3,5,4,34,0,satisfied
57,Business travel,4,3,4,4,4,4,4,5,1,0,4,satisfied
60,Business travel,4,3,3,3,3,4,3,5,3,0,0,satisfied
48,Business travel,5,3,4,4,4,5,3,4,5,0,0,satisfied
44,Business travel,2,4,1,1,1,2,2,3,1,0,0,neutral or dissatisfied
9,Business travel,2,1,2,3,3,2,2,2,2,14,5,neutral or dissatisfied
31,Business travel,5,5,2,5,3,3,5,5,1,0,0,satisfied
52,Business travel,5,4,4,4,4,4,4,5,3,0,0,satisfied
25,Business travel,3,3,1,2,1,5,3,3,3,15,15,neutral or dissatisfied
38,Business travel,3,4,4,5,5,4,4,4,3,5,0,neutral or dissatisfied
25,Personal Travel,4,3,3,5,5,2,1,1,4,0,0,neutral or dissatisfied
30,Business travel,3,1,5,2,3,4,2,2,2,112,93,satisfied
52,Business travel,3,4,4,4,4,4,4,4,1,0,0,satisfied
61,Business travel,5,4,5,5,5,5,5,4,1,0,0,satisfied
34,Business travel,4,3,4,4,4,4,4,5,2,0,0,satisfied
33,Business travel,2,5,5,5,5,2,4,4,2,3,0,neutral or dissatisfied
51,Business travel,3,4,2,2,2,2,1,4,2,0,0,neutral or dissatisfied
40,Business travel,4,3,4,4,4,4,3,4,4,0,0,satisfied
25,Business travel,3,2,2,3,4,3,3,3,3,0,0,neutral or dissatisfied
57,Business travel,5,3,5,5,5,5,4,4,5,0,0,satisfied
50,Business travel,4,3,2,2,2,2,5,5,5,0,10,satisfied
55,Business travel,1,1,5,4,4,2,1,1,1,13,10,neutral or dissatisfied
41,Business travel,4,3,3,3,3,3,5,4,2,0,0,satisfied
36,Business travel,4,2,2,4,5,1,4,4,4,4,0,neutral or dissatisfied
58,Business travel,5,3,4,5,4,4,4,5,1,0,0,satisfied
22,Business travel,1,2,4,4,3,2,1,1,1,36,9,neutral or dissatisfied
56,Business travel,5,5,3,3,3,4,3,4,5,11,0,satisfied
54,Business travel,5,4,4,4,4,4,4,4,3,2,15,satisfied
26,Business travel,4,3,4,4,5,3,2,2,4,0,0,neutral or dissatisfied
27,Business travel,4,3,5,4,5,5,1,1,4,0,0,neutral or dissatisfied
42,Business travel,3,1,3,3,3,4,2,4,3,0,0,neutral or dissatisfied
57,Business travel,5,3,4,4,4,4,3,5,1,17,17,satisfied
35,Business travel,3,4,2,2,2,3,3,2,2,4,9,neutral or dissatisfied
57,Business travel,5,3,5,5,5,5,3,5,3,12,41,satisfied
39,Business travel,5,3,4,4,4,4,4,4,1,0,0,satisfied
22,Business travel,4,2,2,3,3,4,4,4,4,0,0,neutral or dissatisfied
29,Business travel,5,4,5,4,4,5,4,4,1,33,30,satisfied
37,Business travel,4,3,4,1,4,4,3,4,1,27,22,neutral or dissatisfied
44,Business travel,1,2,4,5,4,5,1,3,3,0,0,satisfied
31,Business travel,4,5,3,2,3,4,4,4,1,100,72,satisfied
53,Business travel,5,3,5,5,5,5,5,5,1,0,0,satisfied
38,Business travel,4,4,2,2,2,3,1,3,2,0,0,neutral or dissatisfied
43,Business travel,2,4,3,4,5,4,2,3,2,0,0,neutral or dissatisfied
24,Business travel,3,4,4,3,4,2,3,3,3,32,43,neutral or dissatisfied
37,Business travel,5,5,3,3,3,4,5,4,3,0,0,satisfied
27,Business travel,1,4,3,4,4,5,2,2,1,0,0,neutral or dissatisfied
36,Business travel,4,3,4,4,4,5,5,4,1,0,0,satisfied
54,Business travel,5,3,4,4,4,4,3,4,2,0,0,satisfied
47,Business travel,4,4,4,4,4,4,4,4,2,102,112,satisfied
36,Business travel,5,3,5,5,5,5,4,5,5,0,0,satisfied
47,Business travel,5,5,3,5,3,3,5,5,3,0,0,satisfied
38,Business travel,4,4,1,1,1,1,3,5,0,7,0,satisfied
41,Business travel,4,3,4,5,4,4,5,4,4,10,2,satisfied
51,Business travel,4,4,4,4,4,4,5,5,4,0,0,satisfied
8,Business travel,3,3,4,3,3,5,2,2,2,0,0,neutral or dissatisfied
20,Business travel,5,5,5,5,5,4,5,5,5,117,112,satisfied
42,Business travel,4,3,5,5,5,5,5,1,1,0,2,satisfied
57,Business travel,4,3,5,5,5,5,5,4,2,59,32,satisfied
27,Business travel,2,4,5,4,5,2,5,5,1,0,0,neutral or dissatisfied
35,Business travel,4,4,2,2,2,3,1,1,3,0,0,satisfied
25,Business travel,4,4,4,4,5,5,4,4,5,0,0,satisfied
31,Business travel,5,4,3,4,5,2,5,5,4,0,0,satisfied
46,Business travel,5,3,4,4,4,4,4,4,3,0,0,satisfied
50,Business travel,5,4,4,4,4,4,5,5,5,4,28,satisfied
26,Business travel,4,2,2,4,3,5,4,4,4,19,6,satisfied
27,Business travel,3,1,2,4,3,4,3,5,3,1,0,neutral or dissatisfied
53,Business travel,2,1,2,2,2,2,2,3,2,73,68,neutral or dissatisfied
40,Business travel,4,3,2,2,1,2,1,2,4,0,0,neutral or dissatisfied
23,Business travel,3,1,3,3,4,5,3,3,3,0,0,neutral or dissatisfied
46,Business travel,2,5,5,5,5,5,1,4,4,0,0,satisfied
58,Business travel,1,1,4,4,4,4,4,2,4,0,0,neutral or dissatisfied
42,Business travel,4,4,5,5,5,5,4,4,2,0,1,satisfied
27,Business travel,4,4,3,5,5,4,5,1,4,24,35,neutral or dissatisfied
66,Business travel,3,3,2,2,2,2,4,2,2,0,0,neutral or dissatisfied
47,Business travel,5,5,5,5,5,5,5,5,1,4,0,satisfied
47,Business travel,4,3,4,4,4,4,3,5,2,0,0,satisfied
50,Business travel,1,2,3,3,3,3,5,1,3,4,5,neutral or dissatisfied
24,Business travel,4,3,4,4,5,5,4,4,4,0,0,satisfied
44,Business travel,4,3,5,5,5,4,3,5,5,0,0,satisfied
42,Business travel,4,3,4,4,4,4,3,5,4,0,15,satisfied
25,Business travel,2,2,3,2,2,5,2,2,2,0,0,neutral or dissatisfied
44,Business travel,4,5,5,5,5,5,5,5,3,0,0,satisfied
37,Business travel,3,4,2,2,2,2,1,4,2,80,66,neutral or dissatisfied
60,Business travel,3,5,5,5,5,5,4,4,1,6,0,satisfied
43,Business travel,2,3,4,4,4,3,1,1,2,9,12,satisfied
40,Business travel,3,1,3,3,3,3,4,4,3,0,0,neutral or dissatisfied
58,Business travel,5,4,2,2,2,2,5,4,2,21,6,satisfied
30,Business travel,4,3,4,5,4,4,4,4,2,0,3,satisfied
29,Business travel,3,5,3,4,4,5,2,2,3,0,0,neutral or dissatisfied
39,Business travel,3,4,5,5,5,5,3,5,1,1,2,satisfied
57,Business travel,4,4,2,2,2,2,4,4,2,8,0,neutral or dissatisfied
48,Business travel,5,3,4,4,4,4,5,5,4,0,25,satisfied
59,Business travel,5,3,5,5,5,5,3,4,4,4,35,satisfied
14,Business travel,5,1,3,3,3,2,5,5,4,0,0,satisfied
43,Business travel,4,3,4,4,4,4,3,5,1,0,0,satisfied
51,Business travel,3,4,2,2,2,1,1,3,2,116,96,neutral or dissatisfied
38,Business travel,5,3,4,4,4,4,5,5,1,0,0,satisfied
44,Business travel,3,2,2,2,2,2,1,3,2,0,0,neutral or dissatisfied
39,Business travel,2,1,2,3,3,4,1,1,2,43,50,neutral or dissatisfied
44,Business travel,4,5,5,5,5,5,3,4,1,0,0,satisfied
51,Business travel,4,4,4,4,4,4,3,5,1,0,0,satisfied
22,Business travel,4,4,5,4,1,3,4,4,4,0,8,satisfied
45,Business travel,5,1,4,3,4,4,4,4,3,0,0,satisfied
28,Business travel,4,4,4,4,4,5,4,4,5,0,1,satisfied
54,Business travel,5,1,5,4,5,5,3,5,4,70,76,satisfied
37,Business travel,1,5,3,4,4,2,1,1,1,16,45,neutral or dissatisfied
26,Business travel,1,5,4,5,4,4,5,5,1,0,0,neutral or dissatisfied
50,Business travel,5,3,5,4,5,5,3,4,5,4,0,satisfied
50,Business travel,4,4,4,4,4,4,5,5,3,8,0,satisfied
47,Business travel,5,4,5,5,5,5,4,4,2,0,0,satisfied
27,Business travel,4,4,5,4,5,2,4,4,1,11,0,satisfied
50,Business travel,4,4,3,3,3,4,3,5,2,0,0,satisfied
31,Business travel,1,4,2,4,4,3,1,1,1,3,13,neutral or dissatisfied
23,Business travel,5,4,5,5,4,3,3,1,5,0,0,satisfied
57,Business travel,5,5,4,4,4,4,3,4,4,0,7,satisfied
27,Business travel,2,3,1,1,2,5,2,2,2,29,38,neutral or dissatisfied
48,Business travel,5,5,4,4,4,4,3,4,3,1,0,satisfied
26,Business travel,4,4,2,4,4,3,4,4,4,103,111,neutral or dissatisfied
52,Business travel,4,4,3,3,3,3,3,3,3,0,0,neutral or dissatisfied
26,Business travel,1,3,4,3,4,2,2,5,1,1,0,neutral or dissatisfied
21,Business travel,4,3,3,4,5,3,1,1,4,0,0,satisfied
26,Business travel,2,3,4,5,5,4,4,4,2,18,35,neutral or dissatisfied
46,Business travel,5,4,4,4,4,4,4,4,1,17,20,satisfied
46,Business travel,4,3,2,2,2,2,4,3,2,0,0,neutral or dissatisfied
55,Business travel,2,5,5,5,5,5,3,3,2,62,35,satisfied
25,Business travel,3,3,3,4,5,5,3,3,3,0,0,neutral or dissatisfied
34,Business travel,2,3,3,3,3,3,2,2,3,108,77,neutral or dissatisfied
25,Business travel,2,5,3,4,5,4,2,1,2,86,81,neutral or dissatisfied
29,Business travel,5,4,3,4,5,4,5,5,4,65,83,satisfied
53,Business travel,5,4,4,4,4,4,5,5,5,0,0,satisfied
47,Business travel,5,3,4,4,4,4,4,4,3,0,0,satisfied
38,Business travel,4,5,5,5,5,5,3,5,4,0,0,satisfied
39,Business travel,3,5,3,5,4,4,1,1,2,0,0,neutral or dissatisfied
59,Business travel,4,2,2,2,2,2,3,4,2,84,93,neutral or dissatisfied
49,Business travel,4,4,4,4,4,5,5,5,1,11,4,satisfied
20,Business travel,4,2,3,3,3,1,4,4,5,0,5,satisfied
47,Business travel,4,4,5,5,5,5,3,5,2,24,22,satisfied
55,Business travel,4,4,4,5,3,3,4,4,2,0,0,satisfied
55,Business travel,4,5,5,5,5,5,3,5,5,120,114,satisfied
54,Business travel,4,3,4,4,4,4,3,5,3,0,0,satisfied
31,Business travel,5,4,3,4,5,5,5,5,5,0,15,satisfied
42,Business travel,5,3,4,4,4,4,3,4,5,0,0,satisfied
59,Business travel,4,3,5,5,5,4,4,4,5,36,51,neutral or dissatisfied
56,Business travel,4,5,3,3,3,3,5,4,2,100,115,satisfied
41,Business travel,3,4,5,5,5,4,2,3,2,0,0,satisfied
55,Business travel,5,5,4,4,4,4,3,5,5,0,0,satisfied
41,Personal Travel,5,5,5,5,5,5,5,5,5,0,0,satisfied
26,Business travel,1,4,4,4,5,5,1,1,1,0,0,neutral or dissatisfied
25,Business travel,5,3,4,4,5,2,5,5,2,113,124,satisfied
41,Business travel,5,3,4,4,4,4,5,4,3,0,7,satisfied
12,Business travel,3,1,4,4,4,1,3,3,3,0,0,neutral or dissatisfied
41,Business travel,5,5,5,5,5,5,3,4,1,0,3,satisfied
60,Business travel,5,4,5,5,5,5,4,4,2,0,0,satisfied
54,Business travel,5,3,4,4,4,4,3,4,1,0,0,satisfied
19,Business travel,3,1,1,2,2,3,3,3,3,52,46,neutral or dissatisfied
50,Business travel,5,3,3,3,3,3,5,5,0,0,4,satisfied
27,Business travel,0,5,3,4,4,4,2,2,0,0,0,satisfied
34,Business travel,4,5,5,5,5,5,3,5,5,2,7,satisfied
26,Business travel,5,1,1,3,3,5,5,5,2,0,0,satisfied
53,Business travel,4,5,5,5,5,5,5,5,1,0,0,satisfied
47,Business travel,4,4,3,5,3,5,4,4,4,174,181,satisfied
33,Business travel,1,4,4,4,4,4,4,1,1,6,0,satisfied
18,Business travel,2,5,2,5,3,2,2,2,1,0,0,satisfied
52,Business travel,4,3,4,4,4,4,5,5,1,0,0,satisfied
43,Business travel,1,4,5,5,5,5,4,2,1,2,0,satisfied
53,Business travel,3,1,3,3,3,3,4,4,3,0,0,neutral or dissatisfied
48,Personal Travel,5,4,3,3,3,5,4,4,5,32,27,satisfied
39,Business travel,5,4,4,4,4,4,3,4,4,4,0,satisfied
45,Business travel,5,3,4,4,4,4,3,4,5,29,27,satisfied
20,Business travel,5,2,3,3,3,5,3,3,4,0,0,neutral or dissatisfied
49,Business travel,5,5,5,5,5,5,3,4,2,0,5,satisfied
52,Business travel,5,5,5,5,5,5,3,5,0,8,0,satisfied
60,Business travel,4,3,5,5,5,5,5,5,5,0,0,satisfied
31,Business travel,1,3,3,3,3,1,1,1,1,27,22,neutral or dissatisfied
44,Business travel,4,5,5,5,5,5,4,5,3,0,0,satisfied
60,Business travel,5,4,5,5,5,5,4,5,5,20,0,satisfied
43,Business travel,4,5,3,3,3,3,5,4,0,0,0,satisfied
57,Business travel,5,3,5,5,5,5,4,5,1,0,24,satisfied
36,Business travel,3,3,3,3,3,2,2,3,3,92,126,neutral or dissatisfied
44,Business travel,4,4,5,5,5,5,5,4,4,0,0,satisfied
56,Business travel,5,5,4,4,4,4,4,4,3,26,44,satisfied
53,Personal Travel,1,2,5,5,5,2,3,2,3,33,21,neutral or dissatisfied
34,Business travel,4,4,5,4,5,5,5,4,5,8,9,satisfied
52,Business travel,5,3,5,5,5,5,3,4,5,42,39,satisfied
27,Business travel,5,5,5,4,4,3,5,5,2,0,33,satisfied
55,Business travel,3,1,4,4,4,5,2,2,5,0,0,satisfied
27,Business travel,4,2,5,3,5,1,4,4,4,0,0,satisfied
41,Business travel,4,5,5,5,5,5,5,4,1,0,0,satisfied
31,Business travel,4,3,2,1,1,2,3,3,2,0,0,satisfied
42,Business travel,3,4,4,2,3,4,4,5,3,0,2,neutral or dissatisfied
40,Business travel,2,4,4,4,3,1,5,5,1,0,0,neutral or dissatisfied
28,Business travel,3,4,1,5,4,4,3,1,0,0,0,satisfied
49,Business travel,5,4,5,5,5,4,5,5,2,0,0,satisfied
57,Business travel,5,4,4,4,4,4,4,5,1,9,0,satisfied
36,Business travel,4,4,2,1,2,2,4,3,1,6,0,neutral or dissatisfied
36,Business travel,1,1,5,4,1,3,1,1,1,232,232,neutral or dissatisfied
47,Business travel,4,3,4,4,4,4,3,5,2,0,0,satisfied
57,Business travel,4,3,2,2,2,2,5,5,3,0,0,satisfied
23,Business travel,5,3,4,5,5,5,4,4,5,0,5,satisfied
43,Business travel,4,4,3,4,3,5,4,4,5,224,209,satisfied
30,Business travel,3,1,3,4,2,2,3,3,3,17,15,satisfied
25,Business travel,3,4,4,5,4,3,1,1,3,12,23,neutral or dissatisfied
34,Business travel,2,4,3,5,5,5,2,2,2,2,0,neutral or dissatisfied
54,Business travel,5,4,3,3,3,4,4,4,5,11,9,satisfied
20,Business travel,4,3,1,4,4,5,4,4,4,16,26,neutral or dissatisfied
52,Business travel,5,4,5,5,5,5,3,4,1,22,22,satisfied
27,Business travel,1,5,4,5,4,4,4,5,1,79,6,neutral or dissatisfied
16,Business travel,1,4,3,4,3,2,1,1,1,39,45,neutral or dissatisfied
34,Business travel,4,5,4,4,4,4,3,5,2,0,0,satisfied
41,Business travel,4,3,4,4,4,5,3,4,2,59,53,satisfied
45,Business travel,5,5,3,5,5,4,3,3,5,6,0,satisfied
24,Business travel,3,4,1,4,4,2,3,3,3,15,10,neutral or dissatisfied
33,Business travel,4,3,1,2,1,2,4,4,2,0,0,neutral or dissatisfied
47,Business travel,2,2,3,5,1,3,5,2,2,0,0,neutral or dissatisfied
31,Business travel,2,1,4,4,3,1,2,2,2,0,0,neutral or dissatisfied
